epoch,score,loss
1,-521211.00264222,221724753011.08
2,-483186.772625,185842360210.8
3,-442986.23180378,153112525389.65
4,-406467.09487647,125984974521.17
5,-371150.05520998,103990315420.4
6,-340580.89687251,85913718075.56
7,-314556.61453693,71494354102.35
8,-292114.85080408,60493621757.028
9,-272199.28443575,50998300524.399
10,-253987.76024321,43607993339.819
11,-241494.78371526,38448302463.598
12,-225189.09408662,33358018212.304
13,-212810.23234448,29218414581.206
14,-212008.61767145,28996491082.306
15,-200535.04806965,25853528682.353
16,-190385.17433198,23446905289.619
17,-184549.64375546,21644758106.749
18,-176576.97014823,19808756787.764
19,-170536.20255424,18256274542.292
20,-166911.03879962,17431711364.79
21,-163552.9450339,16502771137.988
22,-161470.70476225,15774188874.33
23,-160568.56297029,15446837982.628
24,-157703.62009627,14780665116.888
25,-154964.38800423,14235856440.024
26,-155562.7055549,14002130251.494
27,-154124.33089901,13552375180.746
28,-152918.07321455,13205243412.531
29,-151600.02575374,12935824857.186
30,-152072.12371555,12811710653.149
31,-152660.91223765,12594351860.112
32,-151912.3461212,12457932771.634
33,-151248.49946436,12374541335.637
34,-150449.80860867,12171308033.65
35,-149723.1768355,11894734544.874
36,-149664.53729465,11761252082.839
37,-148912.79268902,11651827505.624
38,-148471.48456519,11566599550.882
39,-147410.29409022,11478886288.114
40,-147492.95395635,11366733382.496
41,-147419.30645051,11301342497.012
42,-147675.69944167,11209119514.381
43,-147432.26401642,11104936550.362
44,-147971.63306938,11027335832.968
45,-147467.45404476,10930045642.114
46,-147600.82073096,10808310444.989
47,-146712.56271204,10715485843.258
48,-147092.60858118,10608240795.341
49,-146910.44290373,10529562927.876
50,-146643.78901071,10445917347.624
51,-146435.71392827,10403235103.25
52,-147209.47522435,10314212852.735
53,-146654.99238483,10269657373.413
54,-146846.00236745,10209535715.795
55,-146419.63709974,10130776639.413
56,-146459.99972295,10105622717.883
57,-146382.48467718,10049115376.292
58,-146511.17958739,10013557785.791
59,-146287.40344306,9990604163.3306
60,-146372.38411946,9939284553.981
61,-146371.34669507,9913140128.3518
62,-146503.13937047,9866769822.6951
63,-146988.40815236,9821217664.5304
64,-146230.09755171,9742843502.4284
65,-146253.65518393,9684864318.8574
66,-146400.55918773,9601007018.7181
67,-146300.24377257,9521689386.8882
68,-146554.90047594,9504287438.7823
69,-146961.3237981,9485098080.4401
70,-146789.64911444,9434527716.7047
71,-146655.73134374,9367859461.2097
72,-146874.56677459,9344569178.5841
73,-146907.71242265,9314395552.6894
74,-147214.96564837,9286424254.314
